Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
CREME_DE_LEITE_NESTLE,SPO_OMO;LEITE_MOCA;0,0155;0,7586;7,5690;0,0134;3,7279;0,6584;33,1871;8,2877;
CREME_DE_LEITE_NESTLE,LEITE_MOCA;SPO_OMO;0,0155;0,3651;5,1773;0,0125;1,4641;0,2946;9,4301;4,0761;
LEITE_MOCA;COCA_COLA;0,0438;0,4373;2,2527;0,0244;1,4322;0,2432;3,8756;3,8539;
COCA_COLA;LEITE_MOCA;0,0438;0,2258;2,2527;0,0244;1,1622;0,1256;3,8756;3,0080;
SPDYPE;COCA_COLA;0,0132;0,4421;2,2773;0,0074;1,4445;0,2480;3,4569;3,0624;
COCA_COLA;SPDYPE;0,0132;0,0681;2,2773;0,0074;1,0410;0,0382;3,4569;1,5921;
CREME_DE_LEITE_NESTLE,SPO_OMO;ACUCAR_UNIAO;0,0112;0,5478;5,8863;0,0093;2,0057;0,4548;13,2810;5,2297;
ACUCAR_UNIAO,SPO_OMO;CREME_DE_LEITE_NESTLE;0,0112;0,4177;5,7918;0,0092;1,5935;0,3456;10,7385;4,3854;
ACUCAR_UNIAO,CREME_DE_LEITE_NESTLE;SPO_OMO;0,0112;0,4406;6,2470;0,0094;1,6615;0,3701;12,1462;4,6773;
MARGDORIANA;COCA_COLA;0,0219;0,4091;2,1075;0,0115;1,3638;0,2150;3,1128;3,0262;
COCA_COLA;MARGDORIANA;0,0219;0,1129;2,1075;0,0115;1,0669;0,0593;3,1128;1,8963;
CREME_DE_LEITE_NESTLE,LEITE_MOCA;AGUA_SANITVAREK;0,0102;0,2413;4,7753;0,0081;1,2514;0,1907;7,2386;3,0893;
AGUA_SANITVAREK,LEITE_MOCA;CREME_DE_LEITE_NESTLE;0,0102;0,5344;7,4101;0,0088;1,9930;0,4623;17,0436;5,6509;
AGUA_SANITVAREK,CREME_DE_LEITE_NESTLE;LEITE_MOCA;0,0102;0,7694;7,6764;0,0089;3,9020;0,6692;33,2436;8,2145;
DETERGYPE,LEITE_MOCA;COCA_COLA;0,0134;0,5748;2,9610;0,0089;1,8953;0,3807;5,9546;4,1619;
COCA_COLA,LEITE_MOCA;DETERGYPE;0,0134;0,3063;4,8635;0,0107;1,3507;0,2433;8,0782;3,5731;
COCA_COLA,DETERGYPE;LEITE_MOCA;0,0134;0,5143;5,1311;0,0108;1,8525;0,4141;10,8205;4,8163;
COCA_COLA,FARTRIGO_RENATA;ACUCAR_UNIAO;0,0143;0,5551;5,9642;0,0119;2,0384;0,4620;14,1851;5,4567;
ACUCAR_UNIAO,FARTRIGO_RENATA;COCA_COLA;0,0143;0,5210;2,6839;0,0090;1,6825;0,3269;4,7954;3,7300;
ACUCAR_UNIAO,COCA_COLA;FARTRIGO_RENATA;0,0143;0,3740;6,1802;0,0120;1,5008;0,3135;11,8388;4,4300;
BISCPIRAQUE;ACUCAR_UNIAO;0,0110;0,2593;2,7866;0,0070;1,2245;0,1663;3,7352;2,4761;
ACUCAR_UNIAO;BISCPIRAQUE;0,0110;0,1181;2,7866;0,0070;1,0859;0,0757;3,7352;1,8988;
CDCOLGATE;ACHOCNESCAU;0,0102;0,2506;4,2621;0,0078;1,2559;0,1918;6,2661;2,9597;
ACHOCNESCAU;CDCOLGATE;0,0102;0,1734;4,2621;0,0078;1,1606;0,1327;6,2661;2,6132;
VEJA_MUSO;SAL_CISNE;0,0116;0,3117;5,0214;0,0093;1,3626;0,2496;8,1803;3,5724;
SAL_CISNE;VEJA_MUSO;0,0116;0,1863;5,0214;0,0093;1,1834;0,1492;8,1803;2,9886;
MAIONESE_HELLMANN_S;ACUCAR_UNIAO;0,0229;0,3638;3,9094;0,0171;1,4256;0,2708;7,0702;3,8722;
ACUCAR_UNIAO;MAIONESE_HELLMANN_S;0,0229;0,2466;3,9094;0,0171;1,2436;0,1835;7,0702;3,3363;
